customer_id,label_recompra_90d
C200000,0
C200001,0
C200002,1
C200003,0
C200004,0
C200005,0
C200006,1
C200007,0
C200008,0
C200009,0
C200010,0
C200011,0
C200012,0
C200013,0
C200014,0
C200015,1
C200016,0
C200017,0
C200018,0
C200019,0
C200020,0
C200021,1
C200022,1
C200023,0
C200024,1
C200025,1
C200026,1
C200027,1
C200028,0
C200029,0
C200030,1
C200031,0
C200032,0
C200033,0
C200034,1
C200035,0
C200036,0
C200037,0
C200038,0
C200039,0
C200040,1
C200041,1
C200042,1
C200043,0
C200044,0
C200045,1
C200046,1
C200047,1
C200048,0
C200049,0
C200050,1
C200051,0
C200052,0
C200053,1
C200054,1
C200055,0
C200056,0
C200057,1
C200058,0
C200059,1
C200060,1
C200061,1
C200062,0
C200063,0
C200064,0
C200065,0
C200066,0
C200067,0
C200068,0
C200069,0
C200070,0
C200071,0
C200072,0
C200073,1
C200074,0
C200075,0
C200076,0
C200077,0
C200078,0
C200079,0
C200080,1
C200081,0
C200082,1
C200083,1
C200084,0
C200085,0
C200086,0
C200087,1
C200088,0
C200089,0
C200090,1
C200091,0
C200092,0
C200093,0
C200094,0
C200095,0
C200096,0
C200097,0
C200098,0
C200099,1
C200100,0
C200101,0
C200102,0
C200103,1
C200104,0
C200105,0
C200106,1
C200107,1
C200108,0
C200109,0
C200110,1
C200111,0
C200112,0
C200113,1
C200114,0
C200115,0
C200116,0
C200117,1
C200118,0
C200119,1
C200120,0
C200121,0
C200122,0
C200123,0
C200124,0
C200125,0
C200126,0
C200127,0
C200128,0
C200129,0
C200130,0
C200131,0
C200132,0
C200133,0
C200134,0
C200135,0
C200136,0
C200137,0
C200138,1
C200139,1
C200140,0
C200141,0
C200142,1
C200143,1
C200144,0
C200145,1
C200146,0
C200147,0
C200148,0
C200149,0
C200150,0
C200151,0
C200152,1
C200153,1
C200154,0
C200155,0
C200156,0
C200157,0
C200158,1
C200159,0
C200160,0
C200161,1
C200162,1
C200163,0
C200164,1
C200165,1
C200166,0
C200167,0
C200168,0
C200169,1
C200170,0
C200171,0
C200172,0
C200173,0
C200174,1
C200175,0
C200176,1
C200177,0
C200178,1
C200179,0
C200180,0
C200181,1
C200182,0
C200183,0
C200184,1
C200185,0
C200186,1
C200187,0
C200188,1
C200189,0
C200190,1
C200191,0
C200192,0
C200193,1
C200194,0
C200195,0
C200196,0
C200197,1
C200198,0
C200199,0
C200200,1
C200201,0
C200202,1
C200203,0
C200204,0
C200205,0
C200206,0
C200207,1
C200208,0
C200209,0
C200210,0
C200211,0
C200212,0
C200213,0
C200214,1
C200215,0
C200216,1
